sku,name,description,price,sale_price,category,badge,image,stock,brand,usage_info
1001,برفان مسك الطهارة 60مل,,975,,perfume,,,15,,
1002,qissa pink 100ML,,880,,perfume,,,3,,
1003,حريه Paris Corner,,1100,,perfume,,,3,,
1004,ريمبري بلو 100مل,,980,,perfume,,,3,,
1005,برفان مشهور 100مل,,850,,perfume,,,3,,
1006,برفان خشب العود 100مل,,600,,perfume,,,4,,
1007,ميجا بلو 100مل,,495,,perfume,,,3,,
1008,تيتانيوم بلو 100مل,,540,,perfume,,,3,,
1009,Ozzareej حكاية فيولت,,1100,,perfume,,,3,,
1010,Ozareej حكاية Siwar,,1100,,perfume,,,3,,
1011,Ozareej حكاية only,,1100,,perfume,,,3,,
1012,Woody 100Ml,,550,,perfume,,,3,,
1013,Earth 100ML,,550,,perfume,,,2,,
1014,مثيرة 100مل,,700,,perfume,,,3,,
1016,Veloria Bloom 100Ml,,510,,perfume,,,4,,
1017,Floral Profumo,,685,,perfume,,,3,,
1018,Khair pistachio 100Ml,,920,,perfume,,,3,,
1019,مسك خاص 100مل,,1200,,perfume,,,3,,
1020,مسك الرمان 100مل,,1200,,perfume,,,3,,
1021,LIBERTE CARAMAL 100Ml,,760,,perfume,,,1,,
1022,اميرة العرب سعودي 100مل,,680,,perfume,,,3,,
1023,TASKEEN CARAMAL 100Ml,,980,,perfume,,,3,,
1024,لونار 100مل,,750,,perfume,,,3,,
1025,HAMILTON 100Ml,,650,,perfume,,,3,,
1026,Khair Confegtion 100Ml,,950,,perfume,,,3,,
1027,KHAIR FUSION 100Ml,,950,,perfume,,,3,,
1028,VETIVER PARADISO 100Ml,,550,,perfume,,,3,,
1029,Magnum OPUS,,550,,perfume,,,3,,
1030,امير العود 100ملي بني,,800,,perfume,,,2,,
1031,MPF LAMOUR 100ML,,720,,perfume,,,3,,
1032,MPF EROUPA 100ML,,750,,perfume,,,6,,
1034,النجاح 100ملي,,750,,perfume,,,3,,
1035,اسبلاش تيد بيكر 60مل,,25,,perfume,,,12,,
1036,TENX Body splash,,65,,perfume,,,24,,
1037,MSA 100Ml,,115,,perfume,,,5,,
1038,دانهيل دبي 30مل,,70,,perfume,,,21,,
1039,طقم خمره 3قطع,,380,,perfume,,,0,,
1040,طقم 3قطع يارا,,380,,perfume,,,2,,
1041,طقم 3 قطع أسد,,380,,perfume,,,2,,
1042,طقم مسك الطهارة فانيليا,,475,,perfume,,,4,,
1043,طقم مسك الطهارة رومان,,475,,perfume,,,2,,
1044,MARADA CRASH 100Ml,,450,,perfume,,,6,,
1045,هاشتاج ليبرتي 85مل,,450,,perfume,,,3,,
1046,MERADA MY FREEDOM 100Ml,,420,,perfume,,,3,,
1047,MERADA FREEDOM WAVES 100Ml,,450,,perfume,,,3,,
1048,MERADA FREEDOM WINGS,,420,,perfume,,,3,,
1049,MERADA MUSE 100Ml,,450,,perfume,,,3,,
